lang,domain,intent,sentence
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de la E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de sa E I I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de la E E I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de sa E E I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "posició de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de la E E I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de sa E E I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "ubicació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm la ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digue'm sa ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me la ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "digues-me sa ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm la ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "explica'm sa ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és la ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa posició de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "quina és sa ubicació de s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és la E E I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és la EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és la I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és la ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és sa E E I"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és sa EEI"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és sa I S S"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és sa ISS"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és l'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és l'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és s'estació espacial"
"ca-ES", "ovos-skill-iss-location", "where_iss.intent", "on és s'estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de l' E E I"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de l' EEI"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de l' I S S"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de l' ISS"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de l' estació espacial"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de l' estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de la E E I"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de la EEI"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de la I S S"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de la ISS"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de la estació espacial"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de la estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de s E E I"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de s EEI"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de s I S S"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de s ISS"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de s estació espacial"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de s estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de sa E E I"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de sa EEI"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de sa I S S"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de sa ISS"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de sa estació espacial"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació de sa estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre l' E E I"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre l' EEI"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre l' I S S"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre l' ISS"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre l' estació espacial"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre l' estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre la E E I"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre la EEI"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre la I S S"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre la ISS"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre la estació espacial"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre la estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre s E E I"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre s EEI"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre s I S S"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre s ISS"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre s estació espacial"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre s estació espacial internacional"
"ca-ES", "ovos-skill-iss-location", "about.intent", "informació sobre sa E E I"
